data_name,model,seq_len,d_model,chunk_size,chunk_num,acc,model_params,model_size (MB)
NATOPS,LightTS,51,512,26,1,0.9666666666666667,119842,0.47
NATOPS,LightTS,51,512,17,3,0.9444444444444444,117501,0.46
NATOPS,LightTS,51,512,13,3,0.9388888888888889,116546,0.46
NATOPS,LightTS,51,512,11,4,0.9444444444444444,116209,0.45
NATOPS,LightTS,51,512,9,5,0.9444444444444444,115672,0.45
NATOPS,LightTS,51,512,8,6,0.9555555555555556,115548,0.45
NATOPS,LightTS,51,512,7,7,0.9333333333333333,115326,0.45
NATOPS,LightTS,51,512,6,8,0.9444444444444444,115006,0.45
NATOPS,LightTS,51,512,5,10,0.9277777777777778,114889,0.45
NATOPS,LightTS,51,512,4,12,0.95,114584,0.45
NATOPS,LightTS,51,512,3,17,0.9277777777777778,114533,0.45
NATOPS,LightTS,51,256,26,1,0.9611111111111111,40706,0.17
NATOPS,LightTS,51,256,17,3,0.9444444444444444,39517,0.16
NATOPS,LightTS,51,256,13,3,0.95,39074,0.16
NATOPS,LightTS,51,256,11,4,0.9333333333333333,38993,0.16
NATOPS,LightTS,51,256,9,5,0.9444444444444444,38712,0.16
NATOPS,LightTS,51,256,8,6,0.9222222222222223,38716,0.16
NATOPS,LightTS,51,256,7,7,0.9333333333333333,38622,0.16
NATOPS,LightTS,51,256,6,8,0.9277777777777778,38430,0.16
NATOPS,LightTS,51,256,5,10,0.9277777777777778,38441,0.16
NATOPS,LightTS,51,256,4,12,0.95,38264,0.16
NATOPS,LightTS,51,256,3,17,0.9333333333333333,38341,0.16
NATOPS,LightTS,51,128,26,1,0.9333333333333333,19570,0.09
NATOPS,LightTS,51,128,17,3,0.9444444444444444,18957,0.08
NATOPS,LightTS,51,128,13,3,0.9277777777777778,18770,0.08
NATOPS,LightTS,51,128,11,4,0.9222222222222223,18817,0.08
NATOPS,LightTS,51,128,9,5,0.9388888888888889,18664,0.08
NATOPS,LightTS,51,128,8,6,0.95,18732,0.08
NATOPS,LightTS,51,128,7,7,0.9444444444444444,18702,0.08
NATOPS,LightTS,51,128,6,8,0.9611111111111111,18574,0.08
NATOPS,LightTS,51,128,5,10,0.95,18649,0.08
NATOPS,LightTS,51,128,4,12,0.9388888888888889,18536,0.08
NATOPS,LightTS,51,128,3,17,0.9444444444444444,18677,0.08
NATOPS,LightTS,51,64,26,1,0.9722222222222222,13610,0.06
NATOPS,LightTS,51,64,17,3,0.9388888888888889,13285,0.06
NATOPS,LightTS,51,64,13,3,0.9611111111111111,13226,0.06
NATOPS,LightTS,51,64,11,4,0.9555555555555556,13337,0.06
NATOPS,LightTS,51,64,9,5,0.9444444444444444,13248,0.06
NATOPS,LightTS,51,64,8,6,0.9555555555555556,13348,0.06
NATOPS,LightTS,51,64,7,7,0.9555555555555556,13350,0.06
NATOPS,LightTS,51,64,6,8,0.9611111111111111,13254,0.06
NATOPS,LightTS,51,64,5,10,0.95,13361,0.06
NATOPS,LightTS,51,64,4,12,0.9555555555555556,13280,0.06
NATOPS,LightTS,51,64,3,17,0.9555555555555556,13453,0.06
NATOPS,LightTS,51,32,26,1,0.9555555555555556,11782,0.06
NATOPS,LightTS,51,32,17,3,0.9555555555555556,11601,0.05
NATOPS,LightTS,51,32,13,3,0.95,11606,0.05
NATOPS,LightTS,51,32,11,4,0.95,11749,0.06
NATOPS,LightTS,51,32,9,5,0.9555555555555556,11692,0.05
NATOPS,LightTS,51,32,8,6,0.9666666666666667,11808,0.06
NATOPS,LightTS,51,32,7,7,0.9555555555555556,11826,0.06
NATOPS,LightTS,51,32,6,8,0.9222222222222223,11746,0.06
NATOPS,LightTS,51,32,5,10,0.9666666666666667,11869,0.06
NATOPS,LightTS,51,32,4,12,0.9555555555555556,11804,0.06
NATOPS,LightTS,51,32,3,17,0.9555555555555556,11993,0.06
